,date,congressman
0,1995,Mr. AKAKA. 
1,1995,Mr. BAUCUS. 
2,1995,Mr. BIDEN. 
3,1995,Mr. BINGAMAN. 
4,1995,Mr. BOND. 
5,1995,Mr. BROWN. 
6,1995,Mr. BYRD. 
7,1995,Mr. CARDIN. 
8,1995,Mr. COBURN. 
9,1995,Mr. COHEN. 
10,1995,Mr. CONRAD. 
11,1995,Mr. CONYERS. 
12,1995,Mr. CRAIG. 
13,1995,Mr. DASCHLE. 
14,1995,Mr. DINGELL. 
15,1995,Mr. DODD. 
16,1995,Mr. DOMENICI. 
17,1995,Mr. DORGAN. 
18,1995,Mr. DREIER. 
19,1995,Mr. DURBIN. 
20,1995,Mr. FEINGOLD. 
21,1995,Mr. FRELINGHUYSEN. 
22,1995,Mr. FRIST. 
23,1995,Mr. GOODLATTE. 
24,1995,Mr. GRAHAM. 
25,1995,Mr. GRASSLEY. 
26,1995,Mr. GREGG. 
27,1995,Mr. HARKIN. 
28,1995,Mr. HATCH. 
29,1995,Mr. HOYER. 
30,1995,Mr. INHOFE. 
31,1995,Mr. INOUYE. 
32,1995,Mr. KENNEDY. 
33,1995,Mr. KERRY. 
34,1995,Mr. KYL. 
35,1995,Mr. LAUTENBERG. 
36,1995,Mr. LEAHY. 
37,1995,Mr. LEVIN. 
38,1995,Mr. LIEBERMAN. 
39,1995,Mr. LOTT. 
40,1995,Mr. MCCAIN. 
41,1995,Mr. MCCONNELL. 
42,1995,Mr. MCDERMOTT. 
43,1995,Mr. MCKEON. 
44,1995,Mr. MENENDEZ. 
45,1995,Mr. OBERSTAR. 
46,1995,Mr. OBEY. 
47,1995,Mr. PALLONE. 
48,1995,Mr. RAHALL. 
49,1995,Mr. RANGEL. 
50,1995,Mr. REED. 
51,1995,Mr. REID. 
52,1995,Mr. ROCKEFELLER. 
53,1995,Mr. ROHRABACHER. 
54,1995,Mr. SANDERS. 
55,1995,Mr. SCHUMER. 
56,1995,Mr. SENSENBRENNER. 
57,1995,Mr. SHUSTER. 
58,1995,Mr. SKELTON. 
59,1995,Mr. SPECTER. 
60,1995,Mr. THOMAS. 
61,1995,Mr. THORNBERRY. 
62,1995,Mr. WARNER. 
63,1995,Mr. WAXMAN. 
64,1995,Mr. WOLF. 
65,1995,Mr. WYDEN. 
66,1995,Mrs. BOXER. 
67,1995,Mrs. FEINSTEIN. 
68,1995,Mrs. HUTCHISON. 
69,1995,Mrs. MURRAY. 
70,1995,Ms. KAPTUR. 
71,1995,Ms. MIKULSKI. 
72,1995,Ms. NORTON. 
73,1995,Ms. SLAUGHTER. 
74,1995,Ms. SNOWE. 
75,1995,Ms. WOOLSEY. 
76,1996,Mr. BAUCUS. 
77,1996,Mr. BIDEN. 
78,1996,Mr. BINGAMAN. 
79,1996,Mr. BLUMENAUER. 
80,1996,Mr. BOND. 
81,1996,Mr. BYRD. 
82,1996,Mr. CARDIN. 
83,1996,Mr. CONRAD. 
84,1996,Mr. CRAIG. 
85,1996,Mr. DASCHLE. 
86,1996,Mr. DINGELL. 
87,1996,Mr. DODD. 
88,1996,Mr. DOMENICI. 
89,1996,Mr. DORGAN. 
90,1996,Mr. DREIER. 
91,1996,Mr. DURBIN. 
92,1996,Mr. FRELINGHUYSEN. 
93,1996,Mr. FRIST. 
94,1996,Mr. GRAHAM. 
95,1996,Mr. GRASSLEY. 
96,1996,Mr. GREGG. 
97,1996,Mr. HARKIN. 
98,1996,Mr. HATCH. 
99,1996,Mr. HOYER. 
100,1996,Mr. INOUYE. 
101,1996,Mr. KENNEDY. 
102,1996,Mr. KERRY. 
103,1996,Mr. LEAHY. 
104,1996,Mr. LEVIN. 
105,1996,Mr. LIEBERMAN. 
106,1996,Mr. LOTT. 
107,1996,Mr. MCCAIN. 
108,1996,Mr. MCDERMOTT. 
109,1996,Mr. MENENDEZ. 
110,1996,Mr. OBEY. 
111,1996,Mr. PALLONE. 
112,1996,Mr. RANGEL. 
113,1996,Mr. REED. 
114,1996,Mr. REID. 
115,1996,Mr. SANDERS. 
116,1996,Mr. SCHUMER. 
117,1996,Mr. SPECTER. 
118,1996,Mr. THOMAS. 
119,1996,Mr. WARNER. 
120,1996,Mr. WAXMAN. 
121,1996,Mr. WOLF. 
122,1996,Mrs. BOXER. 
123,1996,Mrs. MURRAY. 
124,1996,Ms. KAPTUR. 
125,1996,Ms. MIKULSKI. 
126,1996,Ms. NORTON. 
127,1996,Ms. SLAUGHTER. 
128,1996,Ms. SNOWE. 
129,1996,Ms. WOOLSEY. 
